City,Population
Ambattur,466205
Avadi,345996
Tiruvottiyur,249446
Pallavaram,215417
Tambaram,174787
Alandur,164430
Alamathi,7424
Anakaputhur,48050
Ayappakkam,29511
Ayyappanthangal,23808
Chinnasekkadu,12396
Chitlapakkam,37906
CowlBazaar,2784
Edayanchavadi,12119
Gerugambakkam,11551
Injambakkam,21158
Irandankattalai,3073
Jalladiampet,19100
Kadhirvedu,7580
Kannapalayam,4704
Karambakkam,21376
Karapakkam,8958
Kattivakkam,36617
Kattupakkam,23910
Koilambakkam,27374
Kolapakkam,7970
Kottivakkam,20217
Kovur,10961
Kundrathur,42126
Madambakkam,11673
Madambakkam,31681
Madippakkam,35752
Maduravoyal,86195
Manali,35248
Manapakkam,13344
Mangadu,38188
Maraimalainagar,81872
Mathur,27674
Medavakkam,29710
Meenambakkam,4286
Moovarasampettai,9672
Mowlivakkam,9294
Mugalivakkam,25117
Nadukuthagai,9251
Nallur,19595
Nandambakkam,11239
Guduvancheri,44098
Nanmangalam,18567
Naravarikuppam,20946
Nazarathpettai,8660
Nedungundram,14390
Neelankarai,28458
Nemilicheri,5743
Nerkundram,59790
Nolambur,21973
Oggiyamduraipakkam,76600
Padianallur,23819
Palavakkam,26766
Pallavaram,0
Pallikaranai,43493
Pammal,75870
Paraniputhur,15225
Peerkankaranai,25871
Periyapanaicheri,2379
Perungalathur,37342
Perungudi,43111
Polichalur,21906
Poonamallee,57224
Porur,46690
Puthagaram,10263
Puzhal,31665
Puzhithivakkam,53322
Ramapuram,52295
Sembakkam,45356
Senneerkuppam,16237
Sholinganallur,26644
Sikkarayapuram,10187
Singaperumalkoil,13566
Sirukalathur,6117
Soorapattu,10444
St.ThomasMountandPallavaram,43795
Thandalam,5176
Tharapakkam,2232
Theerthagiriyampattu,5412
Thirumazhisai,19733
Thiruneermalai,30702
Thirunindravur,37095
Thiruvancheri,3379
Tirusulam,14086
Tiruverkadu,62824
Urapakkam,29122
Valasaravakkam,47378
Vanagaram,19208
Vandalur,16852
Varadarajapuram,3383
Vengavasal,13671
Madavaram,119105
